"","Age","Risk.factor","Sex","variable","value"
"60",65,"AlcoholAbuse","Female","BreastCancer",1.94
"61",70,"AlcoholAbuse","Female","BreastCancer",1.94
"62",75,"AlcoholAbuse","Female","BreastCancer",1.94
"63",80,"AlcoholAbuse","Female","BreastCancer",1.94
"64",85,"AlcoholAbuse","Female","BreastCancer",1.94
"65",0,"AlcoholAbuse","Female","CerebrovascularDisease",1
"66",15,"AlcoholAbuse","Female","CerebrovascularDisease",1
"67",20,"AlcoholAbuse","Female","CerebrovascularDisease",1
"68",25,"AlcoholAbuse","Female","CerebrovascularDisease",1
"69",30,"AlcoholAbuse","Female","CerebrovascularDisease",1
"70",35,"AlcoholAbuse","Female","CerebrovascularDisease",1
"71",40,"AlcoholAbuse","Female","CerebrovascularDisease",1
"72",45,"AlcoholAbuse","Female","CerebrovascularDisease",1
"73",50,"AlcoholAbuse","Female","CerebrovascularDisease",1
"74",55,"AlcoholAbuse","Female","CerebrovascularDisease",1
"75",60,"AlcoholAbuse","Female","CerebrovascularDisease",1
"76",65,"AlcoholAbuse","Female","CerebrovascularDisease",1
"77",70,"AlcoholAbuse","Female","CerebrovascularDisease",1
"78",75,"AlcoholAbuse","Female","CerebrovascularDisease",1
"79",80,"AlcoholAbuse","Female","CerebrovascularDisease",1
"80",85,"AlcoholAbuse","Female","CerebrovascularDisease",1
"81",0,"AlcoholAbuse","Female","CervicalCancer",1
"82",15,"AlcoholAbuse","Female","CervicalCancer",1
"83",20,"AlcoholAbuse","Female","CervicalCancer",1
"84",25,"AlcoholAbuse","Female","CervicalCancer",1
"85",30,"AlcoholAbuse","Female","CervicalCancer",1
"86",35,"AlcoholAbuse","Female","CervicalCancer",1
"87",40,"AlcoholAbuse","Female","CervicalCancer",1
"88",45,"AlcoholAbuse","Female","CervicalCancer",1
"89",50,"AlcoholAbuse","Female","CervicalCancer",1
"90",55,"AlcoholAbuse","Female","CervicalCancer",1
"91",60,"AlcoholAbuse","Female","CervicalCancer",1
"92",65,"AlcoholAbuse","Female","CervicalCancer",1
"93",70,"AlcoholAbuse","Female","CervicalCancer",1
"94",75,"AlcoholAbuse","Female","CervicalCancer",1
"95",80,"AlcoholAbuse","Female","CervicalCancer",1
"96",85,"AlcoholAbuse","Female","CervicalCancer",1
"97",0,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"98",15,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"99",20,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"100",25,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"101",30,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"102",35,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"103",40,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"104",45,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"105",50,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"106",55,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"107",60,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"108",65,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"109",70,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"110",75,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"111",80,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"112",85,"AlcoholAbuse","Female","ChronicLiverDisease",1.64
"113",0,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"114",15,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"115",20,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"116",25,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"117",30,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"118",35,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"119",40,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"120",45,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"121",50,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"122",55,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"123",60,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"124",65,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"125",70,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"126",75,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"127",80,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"128",85,"AlcoholAbuse","Female","ChronicLowerRespiratoryDisease",1
"129",0,"AlcoholAbuse","Female","ColorectalCancer",2.48
"130",15,"AlcoholAbuse","Female","ColorectalCancer",2.48
"131",20,"AlcoholAbuse","Female","ColorectalCancer",2.48
"132",25,"AlcoholAbuse","Female","ColorectalCancer",2.48
"133",30,"AlcoholAbuse","Female","ColorectalCancer",2.48
"134",35,"AlcoholAbuse","Female","ColorectalCancer",2.48
"135",40,"AlcoholAbuse","Female","ColorectalCancer",2.48
"136",45,"AlcoholAbuse","Female","ColorectalCancer",2.48
"137",50,"AlcoholAbuse","Female","ColorectalCancer",2.48
"138",55,"AlcoholAbuse","Female","ColorectalCancer",2.48
"139",60,"AlcoholAbuse","Female","ColorectalCancer",2.48
"140",65,"AlcoholAbuse","Female","ColorectalCancer",2.48
"141",70,"AlcoholAbuse","Female","ColorectalCancer",2.48
"142",75,"AlcoholAbuse","Female","ColorectalCancer",2.48
"143",80,"AlcoholAbuse","Female","ColorectalCancer",2.48
"144",85,"AlcoholAbuse","Female","ColorectalCancer",2.48
"145",0,"AlcoholAbuse","Female","HeartDiseases",1
"146",15,"AlcoholAbuse","Female","HeartDiseases",1
"147",20,"AlcoholAbuse","Female","HeartDiseases",1
"148",25,"AlcoholAbuse","Female","HeartDiseases",1
"149",30,"AlcoholAbuse","Female","HeartDiseases",1
"150",35,"AlcoholAbuse","Female","HeartDiseases",1
"151",40,"AlcoholAbuse","Female","HeartDiseases",1
"152",45,"AlcoholAbuse","Female","HeartDiseases",1
"153",50,"AlcoholAbuse","Female","HeartDiseases",1
"154",55,"AlcoholAbuse","Female","HeartDiseases",1
"155",60,"AlcoholAbuse","Female","HeartDiseases",1
"156",65,"AlcoholAbuse","Female","HeartDiseases",1
"157",70,"AlcoholAbuse","Female","HeartDiseases",1
"158",75,"AlcoholAbuse","Female","HeartDiseases",1
"159",80,"AlcoholAbuse","Female","HeartDiseases",1
"160",85,"AlcoholAbuse","Female","HeartDiseases",1
"161",0,"AlcoholAbuse","Female","Hypertension",1.75
"162",15,"AlcoholAbuse","Female","Hypertension",1.75
"163",20,"AlcoholAbuse","Female","Hypertension",1.75
"164",25,"AlcoholAbuse","Female","Hypertension",1.75
"165",30,"AlcoholAbuse","Female","Hypertension",1.75
"166",35,"AlcoholAbuse","Female","Hypertension",1.75
"167",40,"AlcoholAbuse","Female","Hypertension",1.75
"168",45,"AlcoholAbuse","Female","Hypertension",1.75
"169",50,"AlcoholAbuse","Female","Hypertension",1.75
"170",55,"AlcoholAbuse","Female","Hypertension",1.75
"171",60,"AlcoholAbuse","Female","Hypertension",1.75
"172",65,"AlcoholAbuse","Female","Hypertension",1.75
"173",70,"AlcoholAbuse","Female","Hypertension",1.75
"174",75,"AlcoholAbuse","Female","Hypertension",1.75
"175",80,"AlcoholAbuse","Female","Hypertension",1.75
"176",85,"AlcoholAbuse","Female","Hypertension",1.75
"177",0,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"178",15,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"179",20,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"180",25,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"181",30,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"182",35,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"183",40,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"184",45,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"185",50,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"186",55,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"187",60,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"188",65,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"189",70,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"190",75,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"191",80,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"192",85,"AlcoholAbuse","Female","InfluenzaPneumonia",1
"193",0,"AlcoholAbuse","Female","LungCancer",1.21
"194",15,"AlcoholAbuse","Female","LungCancer",1.21
"195",20,"AlcoholAbuse","Female","LungCancer",1.21
"196",25,"AlcoholAbuse","Female","LungCancer",1.21
"197",30,"AlcoholAbuse","Female","LungCancer",1.21
"198",35,"AlcoholAbuse","Female","LungCancer",1.21
"199",40,"AlcoholAbuse","Female","LungCancer",1.21
"200",45,"AlcoholAbuse","Female","LungCancer",1.21
"201",50,"AlcoholAbuse","Female","LungCancer",1.21
"202",55,"AlcoholAbuse","Female","LungCancer",1.21
"203",60,"AlcoholAbuse","Female","LungCancer",1.21
"204",65,"AlcoholAbuse","Female","LungCancer",1.21
"205",70,"AlcoholAbuse","Female","LungCancer",1.21
"206",75,"AlcoholAbuse","Female","LungCancer",1.21
"207",80,"AlcoholAbuse","Female","LungCancer",1.21
"208",85,"AlcoholAbuse","Female","LungCancer",1.21
"209",0,"AlcoholAbuse","Female","MaternalMortality",1
"210",15,"AlcoholAbuse","Female","MaternalMortality",1
"211",20,"AlcoholAbuse","Female","MaternalMortality",1
"212",25,"AlcoholAbuse","Female","MaternalMortality",1
"213",30,"AlcoholAbuse","Female","MaternalMortality",1
"214",35,"AlcoholAbuse","Female","MaternalMortality",1
"215",40,"AlcoholAbuse","Female","MaternalMortality",1
"216",45,"AlcoholAbuse","Female","MaternalMortality",1
"217",50,"AlcoholAbuse","Female","MaternalMortality",1
"218",55,"AlcoholAbuse","Female","MaternalMortality",1
"219",60,"AlcoholAbuse","Female","MaternalMortality",1
"220",65,"AlcoholAbuse","Female","MaternalMortality",1
"221",70,"AlcoholAbuse","Female","MaternalMortality",1
"222",75,"AlcoholAbuse","Female","MaternalMortality",1
"223",80,"AlcoholAbuse","Female","MaternalMortality",1
"224",85,"AlcoholAbuse","Female","MaternalMortality",1
"225",0,"AlcoholAbuse","Female","OtherCancer",1.10405
"226",15,"AlcoholAbuse","Female","OtherCancer",1.10405
"227",20,"AlcoholAbuse","Female","OtherCancer",1.10405
"228",25,"AlcoholAbuse","Female","OtherCancer",1.10405
"229",30,"AlcoholAbuse","Female","OtherCancer",1.10405
"230",35,"AlcoholAbuse","Female","OtherCancer",1.10405
"231",40,"AlcoholAbuse","Female","OtherCancer",1.10405
"232",45,"AlcoholAbuse","Female","OtherCancer",1.10405
"233",50,"AlcoholAbuse","Female","OtherCancer",1.10405
"234",55,"AlcoholAbuse","Female","OtherCancer",1.10405
"235",60,"AlcoholAbuse","Female","OtherCancer",1.10405
"236",65,"AlcoholAbuse","Female","OtherCancer",1.10405
"237",70,"AlcoholAbuse","Female","OtherCancer",1.10405
"238",75,"AlcoholAbuse","Female","OtherCancer",1.10405
"239",80,"AlcoholAbuse","Female","OtherCancer",1.10405
"240",85,"AlcoholAbuse","Female","OtherCancer",1.10405
"241",0,"AlcoholAbuse","Female","Overdose",1
"242",15,"AlcoholAbuse","Female","Overdose",1
"243",20,"AlcoholAbuse","Female","Overdose",1
"244",25,"AlcoholAbuse","Female","Overdose",1
"245",30,"AlcoholAbuse","Female","Overdose",1
"246",35,"AlcoholAbuse","Female","Overdose",1
"247",40,"AlcoholAbuse","Female","Overdose",1
"248",45,"AlcoholAbuse","Female","Overdose",1
"249",50,"AlcoholAbuse","Female","Overdose",1
"250",55,"AlcoholAbuse","Female","Overdose",1
"251",60,"AlcoholAbuse","Female","Overdose",1
"252",65,"AlcoholAbuse","Female","Overdose",1
"253",70,"AlcoholAbuse","Female","Overdose",1
"254",75,"AlcoholAbuse","Female","Overdose",1
"255",80,"AlcoholAbuse","Female","Overdose",1
"256",85,"AlcoholAbuse","Female","Overdose",1
"257",0,"AlcoholAbuse","Female","Parkinsons",1
"258",15,"AlcoholAbuse","Female","Parkinsons",1
"259",20,"AlcoholAbuse","Female","Parkinsons",1
"260",25,"AlcoholAbuse","Female","Parkinsons",1
"261",30,"AlcoholAbuse","Female","Parkinsons",1
"262",35,"AlcoholAbuse","Female","Parkinsons",1
"263",40,"AlcoholAbuse","Female","Parkinsons",1
"264",45,"AlcoholAbuse","Female","Parkinsons",1
"265",50,"AlcoholAbuse","Female","Parkinsons",1
"266",55,"AlcoholAbuse","Female","Parkinsons",1
"267",60,"AlcoholAbuse","Female","Parkinsons",1
"268",65,"AlcoholAbuse","Female","Parkinsons",1
"269",70,"AlcoholAbuse","Female","Parkinsons",1
"270",75,"AlcoholAbuse","Female","Parkinsons",1
"271",80,"AlcoholAbuse","Female","Parkinsons",1
"272",85,"AlcoholAbuse","Female","Parkinsons",1
"273",0,"AlcoholAbuse","Female","ProstateCancer",1
"274",15,"AlcoholAbuse","Female","ProstateCancer",1
"275",20,"AlcoholAbuse","Female","ProstateCancer",1
"276",25,"AlcoholAbuse","Female","ProstateCancer",1
"277",30,"AlcoholAbuse","Female","ProstateCancer",1
"278",35,"AlcoholAbuse","Female","ProstateCancer",1
"279",40,"AlcoholAbuse","Female","ProstateCancer",1
"280",45,"AlcoholAbuse","Female","ProstateCancer",1
"281",50,"AlcoholAbuse","Female","ProstateCancer",1
"282",55,"AlcoholAbuse","Female","ProstateCancer",1
"283",60,"AlcoholAbuse","Female","ProstateCancer",1
"284",65,"AlcoholAbuse","Female","ProstateCancer",1
"285",70,"AlcoholAbuse","Female","ProstateCancer",1
"286",75,"AlcoholAbuse","Female","ProstateCancer",1
"287",80,"AlcoholAbuse","Female","ProstateCancer",1
"288",85,"AlcoholAbuse","Female","ProstateCancer",1
"289",0,"AlcoholAbuse","Female","Suicide",2.56
"290",15,"AlcoholAbuse","Female","Suicide",2.56
"291",20,"AlcoholAbuse","Female","Suicide",2.56
"292",25,"AlcoholAbuse","Female","Suicide",2.56
"293",30,"AlcoholAbuse","Female","Suicide",2.56
"294",35,"AlcoholAbuse","Female","Suicide",2.56
"295",40,"AlcoholAbuse","Female","Suicide",2.56
"296",45,"AlcoholAbuse","Female","Suicide",2.56
"297",50,"AlcoholAbuse","Female","Suicide",2.56
"298",55,"AlcoholAbuse","Female","Suicide",2.56
"299",60,"AlcoholAbuse","Female","Suicide",2.56
"300",65,"AlcoholAbuse","Female","Suicide",2.56
"301",70,"AlcoholAbuse","Female","Suicide",2.56
"302",75,"AlcoholAbuse","Female","Suicide",2.56
"303",80,"AlcoholAbuse","Female","Suicide",2.56
"304",85,"AlcoholAbuse","Female","Suicide",2.56
"305",0,"AlcoholAbuse","Female","Type2Diabetes",1
"306",15,"AlcoholAbuse","Female","Type2Diabetes",1
"307",20,"AlcoholAbuse","Female","Type2Diabetes",1
"308",25,"AlcoholAbuse","Female","Type2Diabetes",1
"309",30,"AlcoholAbuse","Female","Type2Diabetes",1
"310",35,"AlcoholAbuse","Female","Type2Diabetes",1
"311",40,"AlcoholAbuse","Female","Type2Diabetes",1
"312",45,"AlcoholAbuse","Female","Type2Diabetes",1
"313",50,"AlcoholAbuse","Female","Type2Diabetes",1
"314",55,"AlcoholAbuse","Female","Type2Diabetes",1
"315",60,"AlcoholAbuse","Female","Type2Diabetes",1
"316",65,"AlcoholAbuse","Female","Type2Diabetes",1
"317",70,"AlcoholAbuse","Female","Type2Diabetes",1
"318",75,"AlcoholAbuse","Female","Type2Diabetes",1
"319",80,"AlcoholAbuse","Female","Type2Diabetes",1
"320",85,"AlcoholAbuse","Female","Type2Diabetes",1
"321",0,"AlcoholAbuse","Male","Accident",2.13
"322",15,"AlcoholAbuse","Male","Accident",2.13
"323",20,"AlcoholAbuse","Male","Accident",2.13
"324",25,"AlcoholAbuse","Male","Accident",2.13
"325",30,"AlcoholAbuse","Male","Accident",2.13
"326",35,"AlcoholAbuse","Male","Accident",2.13
"327",40,"AlcoholAbuse","Male","Accident",2.13
"328",45,"AlcoholAbuse","Male","Accident",2.13
"329",50,"AlcoholAbuse","Male","Accident",2.13
"330",55,"AlcoholAbuse","Male","Accident",2.13
"331",60,"AlcoholAbuse","Male","Accident",2.13
"332",65,"AlcoholAbuse","Male","Accident",2.13
"333",70,"AlcoholAbuse","Male","Accident",2.13
"334",75,"AlcoholAbuse","Male","Accident",2.13
"335",80,"AlcoholAbuse","Male","Accident",2.13
"336",85,"AlcoholAbuse","Male","Accident",2.13
"337",0,"AlcoholAbuse","Male","Alzheimers",1
"338",15,"AlcoholAbuse","Male","Alzheimers",1
"339",20,"AlcoholAbuse","Male","Alzheimers",1
"340",25,"AlcoholAbuse","Male","Alzheimers",1
"341",30,"AlcoholAbuse","Male","Alzheimers",1
"342",35,"AlcoholAbuse","Male","Alzheimers",1
"343",40,"AlcoholAbuse","Male","Alzheimers",1
"344",45,"AlcoholAbuse","Male","Alzheimers",1
"345",50,"AlcoholAbuse","Male","Alzheimers",1
"346",55,"AlcoholAbuse","Male","Alzheimers",1
"347",60,"AlcoholAbuse","Male","Alzheimers",1
"348",65,"AlcoholAbuse","Male","Alzheimers",1
"349",70,"AlcoholAbuse","Male","Alzheimers",1
"350",75,"AlcoholAbuse","Male","Alzheimers",1
"351",80,"AlcoholAbuse","Male","Alzheimers",1
"352",85,"AlcoholAbuse","Male","Alzheimers",1
"353",0,"AlcoholAbuse","Male","Assault",1
"354",15,"AlcoholAbuse","Male","Assault",1
"355",20,"AlcoholAbuse","Male","Assault",1
"356",25,"AlcoholAbuse","Male","Assault",1
"357",30,"AlcoholAbuse","Male","Assault",1
"358",35,"AlcoholAbuse","Male","Assault",1
"359",40,"AlcoholAbuse","Male","Assault",1
"360",45,"AlcoholAbuse","Male","Assault",1
"361",50,"AlcoholAbuse","Male","Assault",1
"362",55,"AlcoholAbuse","Male","Assault",1
"363",60,"AlcoholAbuse","Male","Assault",1
"364",65,"AlcoholAbuse","Male","Assault",1
"365",70,"AlcoholAbuse","Male","Assault",1
"366",75,"AlcoholAbuse","Male","Assault",1
"367",80,"AlcoholAbuse","Male","Assault",1
"368",85,"AlcoholAbuse","Male","Assault",1
"369",0,"AlcoholAbuse","Male","BreastCancer",1.94
"370",15,"AlcoholAbuse","Male","BreastCancer",1.94
"371",20,"AlcoholAbuse","Male","BreastCancer",1.94
"372",25,"AlcoholAbuse","Male","BreastCancer",1.94
"373",30,"AlcoholAbuse","Male","BreastCancer",1.94
"374",35,"AlcoholAbuse","Male","BreastCancer",1.94
"375",40,"AlcoholAbuse","Male","BreastCancer",1.94
"376",45,"AlcoholAbuse","Male","BreastCancer",1.94
"377",50,"AlcoholAbuse","Male","BreastCancer",1.94
"378",55,"AlcoholAbuse","Male","BreastCancer",1.94
"379",60,"AlcoholAbuse","Male","BreastCancer",1.94
"380",65,"AlcoholAbuse","Male","BreastCancer",1.94
"381",70,"AlcoholAbuse","Male","BreastCancer",1.94
"382",75,"AlcoholAbuse","Male","BreastCancer",1.94
"383",80,"AlcoholAbuse","Male","BreastCancer",1.94
"384",85,"AlcoholAbuse","Male","BreastCancer",1.94
"385",0,"AlcoholAbuse","Male","CerebrovascularDisease",1
"386",15,"AlcoholAbuse","Male","CerebrovascularDisease",1
"387",20,"AlcoholAbuse","Male","CerebrovascularDisease",1
"388",25,"AlcoholAbuse","Male","CerebrovascularDisease",1
"389",30,"AlcoholAbuse","Male","CerebrovascularDisease",1
"390",35,"AlcoholAbuse","Male","CerebrovascularDisease",1
"391",40,"AlcoholAbuse","Male","CerebrovascularDisease",1
"392",45,"AlcoholAbuse","Male","CerebrovascularDisease",1
"393",50,"AlcoholAbuse","Male","CerebrovascularDisease",1
"394",55,"AlcoholAbuse","Male","CerebrovascularDisease",1
"395",60,"AlcoholAbuse","Male","CerebrovascularDisease",1
"396",65,"AlcoholAbuse","Male","CerebrovascularDisease",1
"397",70,"AlcoholAbuse","Male","CerebrovascularDisease",1
"398",75,"AlcoholAbuse","Male","CerebrovascularDisease",1
"399",80,"AlcoholAbuse","Male","CerebrovascularDisease",1
"400",85,"AlcoholAbuse","Male","CerebrovascularDisease",1
"401",0,"AlcoholAbuse","Male","CervicalCancer",1
"402",15,"AlcoholAbuse","Male","CervicalCancer",1
"403",20,"AlcoholAbuse","Male","CervicalCancer",1
"404",25,"AlcoholAbuse","Male","CervicalCancer",1
"405",30,"AlcoholAbuse","Male","CervicalCancer",1
"406",35,"AlcoholAbuse","Male","CervicalCancer",1
"407",40,"AlcoholAbuse","Male","CervicalCancer",1
"408",45,"AlcoholAbuse","Male","CervicalCancer",1
"409",50,"AlcoholAbuse","Male","CervicalCancer",1
"410",55,"AlcoholAbuse","Male","CervicalCancer",1
"411",60,"AlcoholAbuse","Male","CervicalCancer",1
"412",65,"AlcoholAbuse","Male","CervicalCancer",1
"413",70,"AlcoholAbuse","Male","CervicalCancer",1
"414",75,"AlcoholAbuse","Male","CervicalCancer",1
"415",80,"AlcoholAbuse","Male","CervicalCancer",1
"416",85,"AlcoholAbuse","Male","CervicalCancer",1
"417",0,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"418",15,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"419",20,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"420",25,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"421",30,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"422",35,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"423",40,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"424",45,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"425",50,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"426",55,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"427",60,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"428",65,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"429",70,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"430",75,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"431",80,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"432",85,"AlcoholAbuse","Male","ChronicLiverDisease",1.64
"433",0,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"434",15,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"435",20,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"436",25,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"437",30,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"438",35,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"439",40,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"440",45,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"441",50,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"442",55,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"443",60,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"444",65,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"445",70,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"446",75,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"447",80,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"448",85,"AlcoholAbuse","Male","ChronicLowerRespiratoryDisease",1
"449",0,"AlcoholAbuse","Male","ColorectalCancer",2.48
"450",15,"AlcoholAbuse","Male","ColorectalCancer",2.48
"451",20,"AlcoholAbuse","Male","ColorectalCancer",2.48
"452",25,"AlcoholAbuse","Male","ColorectalCancer",2.48
"453",30,"AlcoholAbuse","Male","ColorectalCancer",2.48
"454",35,"AlcoholAbuse","Male","ColorectalCancer",2.48
"455",40,"AlcoholAbuse","Male","ColorectalCancer",2.48
"456",45,"AlcoholAbuse","Male","ColorectalCancer",2.48
"457",50,"AlcoholAbuse","Male","ColorectalCancer",2.48
"458",55,"AlcoholAbuse","Male","ColorectalCancer",2.48
"459",60,"AlcoholAbuse","Male","ColorectalCancer",2.48
"460",65,"AlcoholAbuse","Male","ColorectalCancer",2.48
"461",70,"AlcoholAbuse","Male","ColorectalCancer",2.48
"462",75,"AlcoholAbuse","Male","ColorectalCancer",2.48
"463",80,"AlcoholAbuse","Male","ColorectalCancer",2.48
"464",85,"AlcoholAbuse","Male","ColorectalCancer",2.48
